Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Age_Group,Gen_Group,DaysAsCustomer,NumChildren,NumAcceptedCmp,Total_Purchases,Total_Spending,Conversion_Rate
S1,Lajang,58138000.0,0,0,2012-09-04,58,635000,88000,546000,172000,88000,88000,3,8,10,4,7,0,0,0,0,0,0,1,65,Late Senior,Boomers,3678,0,1,25,1617000,0.1
S1,Lajang,46344000.0,1,1,2014-03-08,38,11000,1000,6000,2000,1000,6000,2,1,1,2,5,0,0,0,0,0,0,0,68,Late Senior,Boomers,3128,2,0,6,27000,0.0
S1,Bertunangan,71613000.0,0,0,2013-08-21,26,426000,49000,127000,111000,21000,42000,1,8,2,10,4,0,0,0,0,0,0,0,57,Senior,Gen X,3327,0,0,21,776000,0.0
S1,Bertunangan,26646000.0,1,0,2014-02-10,26,11000,4000,20000,10000,3000,5000,2,2,0,4,6,0,0,0,0,0,0,0,38,Late Adult,Millennials,3154,1,0,8,53000,0.0
S3,Menikah,58293000.0,1,0,2014-01-19,94,173000,43000,118000,46000,27000,15000,5,5,3,6,5,0,0,0,0,0,0,0,41,Late Adult,Millennials,3176,1,0,19,422000,0.0
S2,Bertunangan,62513000.0,0,1,2013-09-09,16,520000,42000,98000,0,42000,14000,2,6,4,10,6,0,0,0,0,0,0,0,55,Senior,Gen X,3308,1,0,22,716000,0.0
S1,Cerai,55635000.0,0,1,2012-11-13,34,235000,65000,164000,50000,49000,27000,4,7,3,7,6,0,0,0,0,0,0,0,51,Mature,Gen X,3608,1,0,21,590000,0.0
S3,Menikah,33454000.0,1,0,2013-05-08,32,76000,10000,56000,3000,1000,23000,2,4,0,4,8,0,0,0,0,0,0,0,37,Late Adult,Millennials,3432,1,0,10,169000,0.0
S3,Bertunangan,30351000.0,1,0,2013-06-06,19,14000,0,24000,3000,3000,2000,1,3,0,2,9,0,0,0,0,0,0,1,48,Mature,Gen X,3403,1,1,6,46000,0.1
S3,Bertunangan,5648000.0,1,1,2014-03-13,68,28000,0,6000,1000,1000,13000,1,1,0,0,20,1,0,0,0,0,0,0,72,Late Senior,Boomers,3123,2,1,2,49000,0.0
SMA,Menikah,7500000.0,0,0,2012-11-13,59,6000,16000,11000,11000,1000,16000,1,2,0,3,8,0,0,0,0,0,0,0,46,Mature,Gen X,3608,0,0,6,61000,0.0
S1,Cerai,63033000.0,0,0,2013-11-15,82,194000,61000,480000,225000,112000,30000,1,3,4,8,2,0,0,0,0,0,0,0,63,Senior,Boomers,3241,0,0,16,1102000,0.0
S2,Cerai,59354000.0,1,1,2013-11-15,53,233000,2000,53000,3000,5000,14000,3,6,1,5,6,0,0,0,0,0,0,0,70,Late Senior,Boomers,3241,2,0,15,310000,0.0
S1,Menikah,17323000.0,0,0,2012-10-10,38,3000,14000,17000,6000,1000,5000,1,1,0,3,8,0,0,0,0,0,0,0,35,Late Adult,Millennials,3642,0,0,5,46000,0.0
S3,Lajang,82800000.0,0,0,2012-11-24,23,1006000,22000,115000,59000,68000,45000,1,7,6,12,3,0,0,1,1,0,0,1,76,Late Senior,Boomers,3597,0,3,26,1315000,1.0
S1,Menikah,41850000.0,1,1,2012-12-24,51,53000,5000,19000,2000,13000,4000,3,3,0,3,8,0,0,0,0,0,0,0,42,Late Adult,Gen X,3567,2,0,9,96000,0.0
S1,Bertunangan,37760000.0,0,0,2012-08-31,20,84000,5000,38000,150000,12000,28000,2,4,1,6,7,0,0,0,0,0,0,0,76,Late Senior,Boomers,3682,0,0,13,317000,0.0
S2,Menikah,76995000.0,0,1,2013-03-28,91,1012000,80000,498000,0,16000,176000,2,11,4,9,5,0,0,0,1,0,0,0,73,Late Senior,Boomers,3473,1,1,26,1782000,0.2
D3,Lajang,33812000.0,1,0,2012-11-03,86,4000,17000,19000,30000,24000,39000,2,2,1,3,6,0,0,0,0,0,0,0,37,Late Adult,Millennials,3618,1,0,8,133000,0.0
S1,Menikah,37040000.0,0,0,2012-08-08,41,86000,2000,73000,69000,38000,48000,1,4,2,5,8,0,0,0,0,0,0,0,40,Late Adult,Millennials,3705,0,0,12,316000,0.0
S1,Menikah,2447000.0,1,0,2013-01-06,42,1000,1000,1725000,1000,1000,1000,15,0,28,0,1,0,0,0,0,0,0,0,43,Late Adult,Gen X,3554,1,0,43,1730000,0.0
S3,Menikah,58607000.0,0,1,2012-12-23,63,867000,0,86000,0,0,19000,3,2,3,9,8,0,1,0,0,0,0,0,73,Late Senior,Boomers,3568,1,1,17,972000,0.1
S3,Menikah,65324000.0,0,1,2014-01-11,0,384000,0,102000,21000,32000,5000,3,6,2,9,4,0,0,0,0,0,0,0,68,Late Senior,Boomers,3184,1,0,20,544000,0.0
S1,Bertunangan,40689000.0,0,1,2013-03-18,69,270000,3000,27000,39000,6000,99000,7,7,1,5,8,0,0,0,0,0,0,0,71,Late Senior,Boomers,3483,1,0,20,444000,0.0
S1,Lajang,18589000.0,0,0,2013-01-02,89,6000,4000,25000,15000,12000,13000,2,2,1,3,7,0,0,0,0,0,0,0,53,Mature,Gen X,3558,0,0,8,75000,0.0
S1,Menikah,53359000.0,1,1,2013-05-27,4,173000,4000,30000,3000,6000,41000,4,5,1,4,7,0,0,0,0,0,0,0,46,Mature,Gen X,3413,2,0,14,257000,0.0
S1,Menikah,38360000.0,1,0,2013-05-31,26,36000,2000,42000,20000,21000,10000,2,2,1,4,3,0,0,0,0,0,0,0,33,Adult,Millennials,3409,1,0,9,131000,0.0
S3,Menikah,84618000.0,0,0,2013-11-22,96,684000,100000,801000,21000,66000,0,1,6,9,10,2,0,0,1,0,0,0,0,57,Senior,Gen X,3234,0,1,26,1672000,0.5
S2,Cerai,10979000.0,0,0,2014-05-22,34,8000,4000,10000,2000,2000,4000,2,3,0,3,5,0,0,0,0,0,0,0,33,Adult,Millennials,3053,0,0,8,30000,0.0
S2,Bertunangan,38620000.0,0,0,2013-05-11,56,112000,17000,44000,34000,22000,89000,1,2,5,3,3,0,0,0,0,0,0,0,59,Senior,Boomers,3429,0,0,11,318000,0.0
S1,Bertunangan,40548000.0,0,1,2012-10-10,31,110000,0,5000,2000,0,3000,2,2,1,4,5,0,1,0,0,0,0,0,52,Mature,Gen X,3642,1,1,9,120000,0.2
S3,Cerai,46610000.0,0,2,2012-10-29,8,96000,12000,96000,33000,22000,43000,6,4,1,6,6,0,0,0,0,0,0,1,70,Late Senior,Boomers,3623,2,1,17,302000,0.2
S2,Menikah,68657000.0,0,0,2013-02-20,4,482000,34000,471000,119000,68000,22000,1,3,5,9,7,0,0,0,0,0,0,0,76,Late Senior,Boomers,3509,0,0,18,1196000,0.0
S2,Lajang,49389000.0,1,1,2013-08-29,55,40000,0,19000,2000,1000,3000,1,2,0,3,7,0,0,0,0,0,0,0,71,Late Senior,Boomers,3319,2,0,6,65000,0.0
S3,Menikah,67353000.0,0,1,2013-12-31,37,702000,17000,151000,0,8000,35000,5,5,6,12,2,0,0,0,0,0,0,0,52,Mature,Gen X,3195,1,0,28,913000,0.0
D3,Menikah,23718000.0,1,0,2013-09-02,76,6000,3000,14000,15000,7000,36000,3,3,1,2,7,0,0,0,0,0,0,0,46,Mature,Gen X,3315,1,0,9,81000,0.0
S1,Janda,42429000.0,0,1,2014-02-11,99,55000,0,6000,2000,0,4000,2,1,1,3,5,0,0,0,0,0,0,0,49,Mature,Gen X,3153,1,0,7,67000,0.0
S3,Cerai,48948000.0,0,0,2013-02-01,53,437000,8000,206000,160000,49000,42000,2,7,10,5,6,1,0,0,0,0,0,1,79,Late Senior,Boomers,3528,0,2,24,902000,0.3
S1,Menikah,80011000.0,0,1,2013-04-29,3,421000,76000,536000,82000,178000,102000,2,8,6,5,4,0,0,0,0,0,0,0,42,Late Adult,Gen X,3441,1,0,21,1395000,0.0
S2,Menikah,20559000.0,1,0,2013-03-12,88,13000,1000,29000,3000,0,7000,2,2,0,3,8,0,0,0,0,0,0,0,37,Late Adult,Millennials,3489,1,0,7,53000,0.0
S1,Bertunangan,21994000.0,0,1,2012-12-24,4,9000,0,6000,3000,1000,3000,1,0,0,3,5,0,0,0,0,0,0,0,65,Late Senior,Boomers,3567,1,0,4,22000,0.0
S2,Menikah,7500000.0,1,0,2013-10-02,19,3000,1000,10000,3000,2000,12000,3,2,0,3,5,0,0,0,0,0,0,0,47,Mature,Gen X,3285,1,0,8,31000,0.0
S1,Lajang,79941000.0,0,0,2014-06-28,72,123000,164000,266000,227000,30000,174000,1,2,4,9,1,0,0,0,0,0,0,0,46,Mature,Gen X,3016,0,0,16,984000,0.0
D3,Menikah,7500000.0,0,0,2012-11-09,24,3000,18000,14000,15000,22000,50000,3,3,1,3,9,0,0,0,0,0,0,1,26,Adult,Millennials,3612,0,1,10,122000,0.1
S1,Bertunangan,41728000.0,1,0,2013-05-24,92,13000,6000,15000,3000,5000,13000,1,2,0,2,10,0,0,0,0,0,0,0,54,Mature,Gen X,3416,1,0,5,55000,0.0
S3,Menikah,72550000.0,1,1,2012-11-08,39,826000,50000,317000,50000,38000,38000,9,5,2,12,8,0,0,0,0,0,0,0,68,Late Senior,Boomers,3613,2,0,28,1319000,0.0
S1,Janda,65486000.0,0,1,2014-05-12,29,245000,19000,125000,37000,67000,14000,1,4,2,10,2,0,0,0,0,0,0,0,65,Late Senior,Boomers,3063,1,0,17,507000,0.0
S2,Menikah,79143000.0,0,0,2012-08-11,2,650000,37000,780000,27000,167000,32000,1,6,9,13,3,0,0,0,0,0,0,0,58,Senior,Boomers,3702,0,0,29,1693000,0.0
S1,Lajang,35790000.0,1,0,2013-01-02,54,12000,6000,20000,30000,1000,3000,2,2,0,3,7,0,0,0,0,0,0,0,45,Mature,Gen X,3558,1,0,7,72000,0.0
S1,Cerai,82582000.0,0,0,2014-06-07,54,510000,120000,550000,156000,40000,241000,1,4,9,7,1,1,0,0,1,0,0,1,45,Mature,Gen X,3037,0,3,21,1617000,3.0
S1,Menikah,66373000.0,1,1,2013-06-12,57,328000,9000,124000,12000,24000,109000,7,4,2,10,3,0,0,0,0,0,0,0,44,Late Adult,Gen X,3397,2,0,23,606000,0.0
S2,Bertunangan,82384000.0,0,0,2012-11-19,55,984000,51000,432000,180000,120000,190000,1,3,10,13,1,0,0,1,0,0,0,1,67,Late Senior,Boomers,3602,0,2,27,1957000,2.0
S1,Cerai,70287000.0,0,0,2013-04-02,30,295000,35000,482000,121000,120000,40000,1,5,5,10,3,0,0,0,0,0,0,1,56,Senior,Gen X,3468,0,1,21,1093000,0.3
S1,Lajang,27938000.0,1,0,2014-04-28,31,13000,0,8000,2000,1000,5000,1,1,0,4,3,0,0,0,0,0,0,0,34,Adult,Millennials,3077,1,0,6,29000,0.0
S3,Menikah,55954000.0,0,1,2014-03-03,63,447000,0,28000,0,0,43000,3,8,2,6,7,0,0,0,0,0,0,0,54,Mature,Gen X,3133,1,0,19,518000,0.0
S2,Lajang,75777000.0,0,0,2013-07-04,12,712000,26000,538000,69000,13000,80000,1,3,6,11,1,0,1,1,0,0,0,1,40,Late Adult,Millennials,3375,0,3,21,1438000,3.0
S1,Bertunangan,66653000.0,1,1,2012-09-07,18,452000,18000,102000,16000,18000,6000,4,4,2,12,3,0,0,0,0,0,0,0,47,Mature,Gen X,3675,2,0,22,612000,0.0
S1,Lajang,61823000.0,0,1,2013-02-18,26,523000,7000,134000,37000,14000,169000,4,8,2,10,7,0,0,0,0,0,0,0,70,Late Senior,Boomers,3511,1,0,24,884000,0.0
S3,Janda,67680000.0,0,1,2013-06-11,8,546000,0,48000,0,6000,6000,1,7,3,8,5,0,0,0,0,0,0,0,71,Late Senior,Boomers,3398,1,0,19,606000,0.0
S1,Bertunangan,70666000.0,0,0,2013-12-06,29,398000,40000,367000,119000,122000,30000,1,7,4,4,4,0,0,0,0,0,0,0,74,Late Senior,Boomers,3220,0,0,16,1076000,0.0
S1,Menikah,25721000.0,1,0,2013-05-21,75,1000,3000,6000,3000,6000,15000,1,1,1,2,7,0,0,0,0,0,0,1,51,Mature,Gen X,3419,1,1,5,34000,0.1
S1,Bertunangan,32474000.0,1,1,2014-05-11,0,10000,0,1000,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,55,Senior,Gen X,3064,2,0,4,11000,0.0
D3,Lajang,88194000.0,0,1,2014-03-19,19,688000,14000,309000,201000,24000,38000,1,11,10,10,5,1,0,0,1,0,0,1,43,Late Adult,Gen X,3117,1,3,32,1274000,0.6
S1,Bertunangan,69096000.0,0,1,2013-09-27,4,247000,49000,159000,7000,82000,109000,1,5,2,10,4,0,0,0,0,0,0,0,64,Senior,Boomers,3290,1,0,18,653000,0.0
S1,Bertunangan,74854000.0,1,2,2013-04-08,90,856000,59000,487000,58000,29000,73000,7,2,5,5,5,0,0,0,0,0,0,0,52,Mature,Gen X,3462,3,0,19,1562000,0.0
S2,Menikah,66991000.0,0,0,2012-09-11,1,496000,36000,460000,189000,60000,12000,3,4,8,6,3,0,0,0,0,0,0,0,68,Late Senior,Boomers,3671,0,0,21,1253000,0.0
S1,Menikah,65031000.0,0,1,2013-03-17,29,258000,107000,291000,84000,37000,86000,4,10,3,13,7,0,0,0,0,0,0,0,63,Senior,Boomers,3484,1,0,30,863000,0.0
S3,Menikah,60631000.0,1,1,2013-04-05,88,565000,6000,65000,0,6000,19000,5,9,2,8,7,0,1,0,0,0,0,0,47,Mature,Gen X,3465,2,1,24,661000,0.1
S1,Menikah,28332000.0,0,0,2014-04-30,58,14000,10000,13000,4000,15000,9000,1,2,1,4,2,0,0,0,0,0,0,0,70,Late Senior,Boomers,3075,0,0,8,65000,0.0
S1,Cerai,40246000.0,1,0,2012-12-19,68,2000,1000,6000,2000,1000,1000,1,1,0,2,6,0,0,0,0,0,0,0,45,Mature,Gen X,3572,1,0,4,13000,0.0
S2,Menikah,75251000.0,0,0,2012-08-27,34,721000,111000,925000,97000,18000,18000,1,7,6,5,5,0,0,0,0,0,0,1,50,Mature,Gen X,3686,0,1,19,1890000,0.2
S1,Lajang,75825000.0,0,0,2012-10-12,40,1032000,105000,779000,137000,105000,51000,0,5,8,9,4,1,0,0,0,0,0,1,46,Mature,Gen X,3640,0,2,22,2209000,0.5
D3,Bertunangan,26326000.0,0,0,2013-09-04,12,1000,0,5000,0,3000,9000,1,0,0,3,3,0,0,0,0,0,1,0,46,Mature,Gen X,3313,0,0,4,18000,0.0
S1,Bertunangan,56046000.0,0,0,2013-01-02,9,577000,0,64000,0,0,51000,2,10,1,8,8,1,0,0,0,0,0,1,57,Senior,Gen X,3558,0,2,21,692000,0.2
S1,Lajang,29760000.0,1,0,2012-08-29,87,64000,4000,68000,7000,5000,17000,4,3,1,4,8,0,0,0,0,0,0,0,37,Late Adult,Millennials,3684,1,0,12,165000,0.0
S1,Menikah,26304000.0,1,0,2013-06-23,5,4000,1000,5000,2000,0,4000,1,1,0,2,7,0,0,0,0,0,0,0,53,Mature,Gen X,3386,1,0,4,16000,0.0
D3,Menikah,23559000.0,1,0,2013-07-03,87,25000,5000,19000,7000,0,23000,3,3,0,3,7,0,0,0,0,0,0,0,49,Mature,Gen X,3376,1,0,9,79000,0.0
S2,Bertunangan,38620000.0,0,0,2013-05-11,56,112000,17000,44000,34000,22000,89000,1,2,5,3,3,0,0,0,0,0,0,0,59,Senior,Boomers,3429,0,0,11,318000,0.0
S1,Cerai,81361000.0,0,0,2014-02-25,18,163000,23000,424000,27000,65000,76000,1,3,10,13,1,0,0,0,0,0,0,0,35,Late Adult,Millennials,3139,0,0,27,778000,0.0
S1,Menikah,29440000.0,1,1,2013-08-11,95,17000,8000,14000,10000,4000,3000,2,1,0,4,7,0,0,0,0,0,0,0,62,Senior,Boomers,3337,2,0,7,56000,0.0
S2,Menikah,36138000.0,1,1,2013-07-16,48,130000,0,16000,0,0,5000,5,3,1,4,7,0,1,0,0,0,0,0,52,Mature,Gen X,3363,2,1,13,151000,0.1
S1,Lajang,50388000.0,0,1,2014-05-28,3,292000,6000,37000,0,3000,34000,4,6,1,6,7,0,1,0,1,0,0,1,65,Late Senior,Boomers,3047,1,3,17,372000,0.4
S1,Menikah,79593000.0,0,0,2014-05-12,70,350000,60000,568000,110000,133000,145000,1,5,6,7,2,0,0,1,0,0,0,0,49,Mature,Gen X,3063,0,1,19,1366000,0.5
S1,Bertunangan,54178000.0,0,1,2014-01-21,79,135000,9000,39000,4000,0,7000,1,2,2,5,2,0,0,0,0,0,0,0,55,Senior,Gen X,3174,1,0,10,194000,0.0
S2,Lajang,42394000.0,1,0,2014-03-23,69,15000,2000,10000,0,1000,4000,1,1,0,3,7,0,0,0,0,0,0,0,50,Mature,Gen X,3113,1,0,5,32000,0.0
S3,Menikah,23626000.0,1,0,2014-05-24,84,27000,2000,14000,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,52,Mature,Gen X,3051,1,0,10,43000,0.0
S1,Menikah,30096000.0,1,0,2014-05-22,30,5000,3000,11000,12000,5000,9000,1,2,0,3,6,0,0,0,0,0,0,0,39,Late Adult,Millennials,3053,1,0,6,45000,0.0
